Ex.,Name,Ticker,QMV($),HQ Region,HQ Location,Sector
TSX,5N Plus Inc.,VNP,210855379.2,Canada,QC,Clean Technology
TSX,Advantage Oil & Gas Ltd.,AAV,1798451563,Canada,AB,Oil & Gas
TSX,Africa Oil Corp.,AOI,862628269.9,Canada,BC,Oil & Gas
TSX,Algonquin Power & Utilities Corp.,AQN,3269779851,Canada,ON,Clean Technology
TSX,Alterra Power Corp.,AXY,287790691.5,Canada,BC,Clean Technology
TSX,ARC Resources Ltd.,ARX,8296625998,Canada,AB,Oil & Gas
TSX,Athabasca Oil Corporation,ATH,552684424.2,Canada,AB,Oil & Gas
TSX,Atlantic Power Corporation,ATP,535770901.8,USA,USA,Clean Technology
TSX,Atlantic Power Preferred Equity Ltd.,AZP.PR.A,133287712.3,USA,USA,Clean Technology
TSX,Ballard Power Systems Inc.,BLD,445528681.5,Canada,BC,Clean Technology
TSX,Baytex Energy Corp.,BTE,1213717087,Canada,AB,Oil & Gas
TSX,Bellatrix Exploration Ltd.,BXE,308079119.4,Canada,AB,Oil & Gas
TSX,Bengal Energy Ltd.,BNG,10226669.4,Canada,AB,Oil & Gas
TSX,BIOX Corporation,BX,33651571.39,Canada,ON,Clean Technology
TSX,Birchcliff Energy Ltd.,BIR,2488189637,Canada,AB,Oil & Gas
TSX,BlackPearl Resources Inc.,PXX,597450875,Canada,AB,Oil & Gas
TSX,BNK Petroleum Inc.,BKX,52355090.7,USA,USA,Oil & Gas
TSX,Bonavista Energy Corporation,BNP,1119045376,Canada,AB,Oil & Gas
TSX,Bonterra Energy Corp.,BNE,880804023.2,Canada,AB,Oil & Gas
TSX,Boralex Inc.,BLX,1297418721,Canada,QC,Clean Technology
TSX,Brookfield Renewable Partners L.P.,BEP.UN,6953058782,Canada,QC,Clean Technology
TSX,Brookfield Renewable Power Preferred Equity Inc.,BRF.PR.C,620117942.7,Canada,ON,Clean Technology
TSX,Burcon NutraScience Corporation,BU,97823407.5,Canada,BC,Clean Technology
